x_pos,y_pos,p_flag,volts,weights
50.18,-460.18,0,2.4703,10
-857.5,363.3,0,1.89631,8
772.14,-310.07,1,4.74861,9
749.74,244.63,0,2.69296,10
92.92,707.74,1,4.47026,8
-342.12,-211.73,0,2.00595,9
-480.36,697.84,1,4.77783,10
108.71,372.66,1,4.59634,9
-699.21,410.29,1,4.77783,10
966.85,334.17,1,4.65155,9
-724.81,-314.19,1,4.12192,7
292.11,-183.77,1,3.87908,6
720.81,748.64,1,4.77783,10
759.71,736.98,1,3.20479,3
-702.86,-586.2,0,2.29347,10
-4.6,707.22,0,2.32143,10
759.76,-493.6,1,3.17593,3
